id,name,position,team,age,nationality
378093,Ross Doohan,GK,Celtic,28,
37598290,Callum Osmand,DEF,Celtic,21,
172104,James Forrest,DEF,Celtic,35,
1488,Kelechi Iheanacho,DEF,Celtic,30,
540672,Stephen Welsh,DEF,Celtic,26,
169,Kasper Schmeichel,GK,Celtic,40,
37337212,Arne Engels,DEF,Celtic,23,
529045,Viljami Sinisalo,GK,Celtic,25,
37564402,Johnny Kenny,DEF,Celtic,23,
35659846,Alistair Johnston,DEF,Celtic,28,
24065382,Paulo Bernardo,DEF,Celtic,24,
163711,Jota,DEF,Celtic,27,
30468670,Odin Holm,DEF,Celtic,23,
23260605,Julián Araujo,DEF,Celtic,25,
8585,Callum McGregor,DEF,Celtic,33,
10966261,Reo Hatate,DEF,Celtic,29,
1712,Cameron Carter-Vickers,DEF,Celtic,29,
37699703,Hayato Inamura,DEF,Celtic,24,
123659,Liam Scales,DEF,Celtic,28,
37563550,Hyun-jun Yang,DEF,Celtic,24,
173129,Anthony Ralston,DEF,Celtic,28,
319282,Daizen Maeda,DEF,Celtic,29,
172960,Kieran Tierney,DEF,Celtic,29,
19979885,Benjamin Nygren,DEF,Celtic,25,
37547142,Aidan Denholm,DEF,Livingston,23,
12789495,Alex Tamm,DEF,Livingston,25,
360621,Mohamad Sylla,DEF,Livingston,33,
1442,Scott Arfield,DEF,Livingston,38,
37539856,Babacar Fati,DEF,Livingston,26,
172679,Jack Hamilton,GK,Livingston,32,
23697679,Jamie Smith,GK,Livingston,24,
174211,Scott Pittman,DEF,Livingston,34,
25081,Joshua Brenet,DEF,Livingston,32,
37581761,Mahamadou Susoho,DEF,Livingston,21,
37590367,Macaulay Tait,DEF,Livingston,21,
5974,Stevie May,DEF,Livingston,34,
37528090,Jannik Wanner,DEF,Livingston,27,
3752,Danny Wilson,DEF,Livingston,35,
174500,Unknown,DEF,Livingston,,
31238681,Emmanuel Danso,DEF,Livingston,26,
37391727,Brooklyn Kabongolo,DEF,Livingston,24,
32810192,Joshua Zimmerman,DEF,Livingston,25,
10602,Robbie Muirhead,DEF,Livingston,30,
3187720,Danny Finlayson,DEF,Livingston,25,
96472,Jérôme Prior,GK,Livingston,31,
378693,Lewis Smith,DEF,Livingston,26,
26256,Jeremy Bokila,DEF,Livingston,38,
8201,Cristian Montano,DEF,Livingston,35,
2827,Andrew Shinnie,DEF,Livingston,37,
37683528,Samson Lawal,DEF,Livingston,22,
171964,Ryan McGowan,DEF,Livingston,37,
173043,Connor McLennan,DEF,Livingston,27,
172735,Cammy Kerr,DEF,Livingston,31,
173081,Stuart Findlay,DEF,Hearts,31,
28575695,Marc Leonard,DEF,Hearts,25,
173767,Jamie McCart,DEF,Hearts,29,
17187238,Michael Steinwender,DEF,Hearts,26,
377964,Harry Milne,DEF,Hearts,30,
37615475,Ageu,DEF,Hearts,24,
31668,Alexander Schwolow,GK,Hearts,34,
8881,Frankie Kent,DEF,Hearts,31,
37567889,Finlay Pollock,DEF,Hearts,22,
35,Craig Gordon,GK,Hearts,44,
37614366,Rogers Mato,DEF,Hearts,23,
539622,Jimmy Dunne,DEF,Hearts,29,
37908539,Sabah Kerjota,DEF,Hearts,25,
18559789,Tómas Bent Magnússon,DEF,Hearts,24,
37709746,Jordi Altena,DEF,Hearts,23,
1628,Stephen Kingsley,DEF,Hearts,32,
37567243,Islam Chesnokov,DEF,Hearts,27,
20708316,Cammy Devlin,DEF,Hearts,28,
